,smiles,logP,qed,SAS
57,CCCCCCCCC[C@H](O)CC(=O)O,0,0,0
58,O=S(=O)(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0,0,0
59,OCC(O)c1ccc(O)c(O)c1,0,0,0
60,O=C(C1CCCCC1)N1CC(=O)N2CCc3ccccc3C2C1,0,0,0
61,CC[C@H](O)C(=O)O,0,0,0
62,C=CC12CN(C)C3C4COC(CC41)C1(C(=O)Nc4ccccc41)C32,0,0,0
63,COc1cc(O)c2c(=O)c(OC)c(-c3ccc(O)c(O)c3)oc2c1,0,0,0
64,C[C@@H]1O[C@@H](O[C@H]2[C@H](O[C@H]3[C@H](O[C@H]4CC[C@@]5(C)[C@@H](CC[C@]6(C)[C@@H]5CC=C5[C@@H]7CC(C)(C)C[C@@H](O)[C@]7(C)CC[C@]56C)[C@@]4(C)CO)O[C@H](C(=O)O)[C@@H](O)[C@@H]3O)O[C@H](CO)[C@H](O)[C@@H]2O)[C@H](O)[C@H](O)[C@H]1O,0,0,0
65,NC[C@H](O)CC[C@H](N)C(=O)O,0,0,0
66,NCC(O)CCC(N)C(=O)O,0,0,0
67,CN(C)c1ccc(N=Nc2ccccc2C(=O)O)cc1,0,0,0
68,CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCC(=O)O,0,0,0
69,c1coc(CNc2nc[nH]c3ncnc2-3)c1,0,0,0
70,CC1=C(/C=C/C(C)=C\C=C\C(C)=C\C=C\C=C(C)\C=C\C=C(C)\C=C\C2=C(C)CCCC2(C)C)C(C)(C)CCC1,0,0,0
71,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C=C/C=C(C)/C=C/C=C(C)/C=C/C2=C(C)CCCC2(C)C)C(C)(C)CCC1,0,0,0
72,CNC(=S)N(C)C,0,0,0
73,CCCCCCCCCc1ccc(O)cc1,0,0,0
74,OCC1OCC(O)C(O)C1O,0,0,0
75,OC[C@H]1OC[C@H](O)[C@@H](O)[C@@H]1O,0,0,0
76,O=C1CN=C(c2ccccc2)c2cc(Cl)ccc2N1CC1CC1,0,0,0
77,COc1c2c(cc3oc(=O)ccc13)OC(C)(C)C=C2,0,0,0
78,Cc1cc2c(cc1C)N(C[C@H](O)[C@H](O)[C@H](O)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n3cnc4c(N)ncnc43)[C@H](O)[C@@H]1O)c1nc(O)nc(O)c1N2,0,0,0
79,O=C(O)CCCCCO,0,0,0
