,smiles,logP,qed,SAS
63,O=C(CO)[C@@H](O)[C@H](O)[C@H](O)COP(=O)(O)O,0,0,0
64,C[C@H](CCC(=O)NCC(=O)O)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,0,0,0
65,COc1ccc(C(=O)c2ccccc2)c(O)c1,0,0,0
66,CCCCCCCCCCCCCCO,0,0,0
67,CCOC(=O)CC(=O)OCC,0,0,0
68,Cc1c(O)cc2c(c1O)C(=O)c1ccccc1C2=O,0,0,0
69,O=C(O)Cc1ccc(O)c(O)c1,0,0,0
70,C[C@@H]1OC(O)[C@H](O)[C@H](O)[C@H]1O,0,0,0
71,CC(=O)Nc1c(I)c(C(=O)N[C@H]2C(O)O[C@H](CO)[C@@H](O)[C@@H]2O)c(I)c(N(C)C(C)=O)c1I,0,0,0
72,CCCCC/C=C\C/C=C\CCCCCCCCCC(=O)O,0,0,0
73,CNCC(O)c1ccc(O)c(O)c1,0,0,0
74,CCC(=O)NCC(=O)O,0,0,0
75,CCN1CC2(COC(=O)c3ccccc3N3C(=O)CC(C)C3=O)CCC(OC)C34C5CC6C(OC)CC(O)(C5C6OC)C(O)(C(OC)C23)C14,0,0,0
76,Nc1cc([N+](=O)[O-])ccc1O,0,0,0
77,COc1cnc(OC)n2nc(NS(=O)(=O)c3c(OCC(F)F)cccc3C(F)(F)F)nc12,0,0,0
78,COc1ccc(-c2cc(=O)c3c(O)cc(OC4OC(COC5OC(C)C(O)C(O)C5O)C(O)C(O)C4O)cc3o2)cc1O,0,0,0
79,N#Cc1cc(I)c(O)c(I)c1,0,0,0
80,CC1=C(C(=O)OC(C)C)C(c2cccc([N+](=O)[O-])c2)C(C(=O)OC2CN(C(c3ccccc3)c3ccccc3)C2)=C(N)N1,0,0,0
81,O=C(/C=C/c1ccccc1)c1ccccc1,0,0,0
82,C[C@]12CC[C@H](O)C[C@@H]1CC[C@@H]1[C@@H]2C(=O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)CO,0,0,0
